Porosity,Resistivity,Water_Saturation
0.15235,9.11,0.9971
0.15235,11.87,0.9971
0.14688,10.6,0.81596
0.14688,9.64,0.81596
0.1393,12.86,0.71463
0.14688,11.48,0.81596
0.14688,10.4,0.81596
0.14337,9.57,0.64618
0.14337,8.92,0.64618
0.13296,11.27,0.4807
0.13296,10.24,0.4807
0.12172,9.49,0.25079
0.12172,8.88,0.25079
0.12172,11.06,0.25079
0.12172,10.11,0.25079
0.11787,9.38,0.25408
0.11787,8.82,0.25408
0.11787,8.349999999999998,0.25408
0.11787,10.420000000000002,0.25408
0.11787,9.7,0.25408
0.11829,9.12,0.32773
0.11829,8.67,0.32773
0.11767,8.259999999999998,0.44627
0.11767,7.9,0.44627
0.11818,9.79,0.57747
0.11818,9.35,0.57747
0.11818,8.97,0.57747
0.11818,8.64,0.57747
0.11502,8.349999999999998,0.52674
0.11502,8.099999999999998,0.52674
0.11502,7.849999999999999,0.52674
0.14461,7.63,0.22756
0.15887,7.42,0.21314
0.14269,7.23,0.1488
0.14269,9.2,0.1488
0.14269,9.0,0.1488
0.14269,8.81,0.1488
0.14813,8.62,0.15581
0.14813,8.449999999999998,0.15581
0.14813,8.269999999999998,0.15581
0.14813,8.109999999999998,0.15581
0.14892,7.969999999999998,0.13023
0.14892,7.849999999999999,0.13023
0.15552,7.75,0.2551
0.16253,9.88,0.2544
0.17643,9.79,0.2676
0.17643,9.7,0.2676
0.17643,9.62,0.2676
0.17643,9.51,0.2676
0.17643,9.44,0.2676
0.15852,9.39,0.20379
0.15852,9.36,0.20379
0.15852,9.36,0.20379
0.15852,9.38,0.20379
0.17648,11.87,0.2293
0.17392,11.89,0.18491
0.17392,11.89,0.18491
0.17392,11.83,0.18491
0.1763,11.83,0.15138
0.1763,11.83,0.15138
0.1763,11.8,0.15138
0.16103,11.8,0.1037
0.16103,11.8,0.1037
0.16346,11.82,0.14292
0.16346,14.29,0.14292
0.11855,6.52,1.0
0.11855,6.52,1.0
0.13477,6.52,1.0
0.12751,8.0,1.0
0.12751,8.0,1.0
0.12553,8.0,1.0
0.12751,8.75,1.0
0.12751,8.75,1.0
0.13207,8.75,1.0
0.13207,56.29,1.0
0.13207,56.29,1.0
0.12069,8.349999999999998,1.0
0.12614,8.96,1.0
0.12614,8.96,1.0
0.12614,8.96,1.0
0.12614,8.72,1.0
0.12553,8.72,1.0
0.12553,8.72,1.0
0.12553,8.72,1.0
0.12553,9.37,1.0
0.12553,9.37,1.0
0.13777,9.37,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,12.65,1.0
0.1365,13.53,1.0
0.1365,13.53,1.0
0.1365,11.65,1.0
0.1365,15.17,1.0
0.14345,13.09,0.99945
0.14345,13.09,0.99945
0.14345,11.31,0.99945
0.14745,13.33,0.99781
0.15235,11.61,0.9971
0.15235,10.19,0.9971
0.15235,13.38,0.9971
0.15235,11.87,0.9971
0.15235,10.6,0.9971
0.14688,9.64,0.81596
0.14688,12.86,0.81596
0.14688,11.48,0.81596
0.14688,10.4,0.81596
0.14337,9.57,0.64618
0.1472,12.54,0.57713
0.1472,11.27,0.57713
0.12639,10.24,0.50563
0.12172,9.49,0.25079
0.12172,8.88,0.25079
0.13049,11.06,0.31135
0.12172,10.11,0.25079
0.12172,9.38,0.25079
0.11787,8.82,0.25408
0.11787,11.29,0.25408
0.11787,10.420000000000002,0.25408
0.11455000000000003,9.7,0.36268
0.11767,9.12,0.44627
0.11767,8.67,0.44627
0.11767,8.259999999999998,0.44627
0.11767,10.32,0.44627
0.11818,9.79,0.57747
0.11818,9.35,0.57747
0.11818,8.97,0.57747
0.11818,8.64,0.57747
0.11818,8.349999999999998,0.57747
0.11502,8.099999999999998,0.52674
0.11446,7.849999999999999,0.71619
0.14109,7.63,0.25119
0.14109,9.64,0.25119
0.14269,9.420000000000002,0.1488
0.14269,9.2,0.1488
0.14269,9.0,0.1488
0.14269,8.81,0.1488
0.14813,8.62,0.15581
0.14813,8.449999999999998,0.15581
0.14813,8.269999999999998,0.15581
0.14813,8.109999999999998,0.15581
0.13462,7.969999999999998,0.11681
0.13462,7.849999999999999,0.11681
0.16253,9.98,0.2544
0.16253,9.88,0.2544
0.16253,9.79,0.2544
0.17643,9.7,0.2676
0.16459,9.62,0.19069
0.17643,9.51,0.2676
0.17643,9.44,0.2676
0.15852,9.39,0.20379
0.15852,9.36,0.20379
0.1667,11.85,0.18743
0.1667,11.86,0.18743
0.17392,11.87,0.18491
0.17392,11.89,0.18491
0.18998,11.89,0.13664
0.17392,11.83,0.18491
0.17392,11.83,0.18491
0.1763,11.83,0.15138
0.1763,11.8,0.15138
0.16103,11.8,0.1037
0.16103,14.3,0.1037
0.17089,14.29,0.099196
0.17089,14.29,0.099196
0.11855,6.52,1.0
0.12666,6.52,1.0
0.11855,6.52,1.0
0.13477,8.0,1.0
0.12751,8.0,1.0
0.12751,8.0,1.0
0.12751,8.75,1.0
0.12751,8.75,1.0
0.12069,8.75,1.0
0.12069,56.29,1.0
0.12069,56.29,1.0
0.12069,8.349999999999998,1.0
0.12614,8.96,1.0
0.12614,8.96,1.0
0.12614,8.96,1.0
0.12614,8.96,1.0
0.12614,8.72,1.0
0.12553,8.72,1.0
0.12553,56.36,1.0
0.13019,9.37,1.0
0.13019,9.37,1.0
0.12493000000000003,9.37,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,12.65,1.0
0.1365,13.53,1.0
0.1365,13.53,1.0
0.1365,11.65,1.0
0.1365,15.17,1.0
0.1365,13.09,1.0
0.14745,13.09,0.99781
0.14745,15.32,0.99781
0.14745,13.33,0.99781
0.14745,11.61,0.99781
0.15235,10.19,0.9971
0.15235,13.38,0.9971
0.15235,11.87,0.9971
0.15235,10.6,0.9971
0.14688,9.64,0.81596
0.14688,12.86,0.81596
0.14688,11.48,0.81596
0.14946,10.4,0.92324
0.1472,9.57,0.57713
0.1472,12.54,0.57713
0.1472,11.27,0.57713
0.12639,10.24,0.50563
0.12639,9.49,0.50563
0.12172,12.19,0.25079
0.12172,11.06,0.25079
0.12172,10.11,0.25079
0.12172,9.38,0.25079
0.11787,8.82,0.25408
0.11455000000000003,11.29,0.36268
0.11455000000000003,10.420000000000002,0.36268
0.11455000000000003,9.7,0.36268
0.11767,9.12,0.44627
0.11767,8.67,0.44627
0.11767,8.259999999999998,0.44627
0.11767,10.32,0.44627
0.11767,9.79,0.44627
0.11818,9.35,0.57747
0.11818,8.97,0.57747
0.11818,8.64,0.57747
0.10937,8.349999999999998,0.7303
0.11446,8.099999999999998,0.71619
0.11446,7.849999999999999,0.71619
0.11446,9.88,0.71619
0.14109,9.64,0.25119
0.14269,9.420000000000002,0.1488
0.14269,9.2,0.1488
0.14269,9.0,0.1488
0.14269,8.81,0.1488
0.14813,8.62,0.15581
0.14813,8.449999999999998,0.15581
0.14211,8.269999999999998,0.11681
0.14211,8.109999999999998,0.11681
0.14211,10.23,0.11681
0.13462,10.1,0.11681
0.14434,9.98,0.17076
0.16253,9.88,0.2544
0.16253,9.79,0.2544
0.17643,9.7,0.2676
0.17643,9.62,0.2676
0.17643,9.51,0.2676
0.17956,9.44,0.23057
0.1667,11.86,0.18743
0.1667,11.85,0.18743
0.1667,11.85,0.18743
0.1667,11.86,0.18743
0.1667,11.87,0.18743
0.17392,11.89,0.18491
0.17392,11.89,0.18491
0.17392,11.83,0.18491
0.17392,11.83,0.18491
0.1763,11.83,0.15138
0.1845,14.3,0.15271
0.16622999999999996,14.3,0.098077
0.16622999999999996,14.3,0.098077
0.17089,14.29,0.099196
0.17089,14.29,0.099196
0.11855,6.52,1.0
0.11855,6.52,1.0
0.11855,6.52,1.0
0.11855,8.0,1.0
0.12751,8.0,1.0
0.12751,8.0,1.0
0.12373,8.75,1.0
0.12373,8.75,1.0
0.12069,8.75,1.0
0.12069,56.29,1.0
0.12069,56.29,1.0
0.12069,8.349999999999998,1.0
0.12069,8.96,1.0
0.12614,8.96,1.0
0.12614,8.96,1.0
0.12614,8.72,1.0
0.12235,8.72,1.0
0.13019,8.72,1.0
0.13019,56.36,1.0
0.13019,9.37,1.0
0.13019,9.37,1.0
0.12493000000000003,9.37,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,12.65,1.0
0.12493000000000003,13.53,1.0
0.1365,13.53,1.0
0.13286,11.65,0.99918
0.13286,15.17,0.99918
0.13286,13.09,0.99918
0.14745,13.09,0.99781
0.14745,15.32,0.99781
0.14745,13.33,0.99781
0.14745,11.61,0.99781
0.15235,10.19,0.9971
0.15235,13.38,0.9971
0.15235,11.87,0.9971
0.15235,10.6,0.9971
0.14946,9.64,0.92324
0.14946,12.86,0.92324
0.14946,11.48,0.92324
0.14946,10.4,0.92324
0.14946,9.57,0.92324
0.1472,12.54,0.57713
0.13679,11.27,0.5441
0.1472,10.24,0.57713
0.1472,9.49,0.57713
0.12172,12.19,0.25079
0.12172,11.06,0.25079
0.11817,10.11,0.43255
0.11817,9.38,0.43255
0.11455000000000003,8.82,0.36268
0.11455000000000003,11.29,0.36268
0.11455000000000003,10.420000000000002,0.36268
0.11455000000000003,9.7,0.36268
0.11455000000000003,9.12,0.36268
0.11767,8.67,0.44627
0.11767,10.99,0.44627
0.11767,10.32,0.44627
0.11767,9.79,0.44627
0.10937,9.35,0.7303
0.10937,8.97,0.7303
0.10937,8.64,0.7303
0.10937,8.349999999999998,0.7303
0.11446,10.44,0.71619
0.11446,10.14,0.71619
0.12777,9.88,0.45946
0.14109,9.64,0.25119
0.14109,9.420000000000002,0.25119
0.14269,9.2,0.1488
0.14269,9.0,0.1488
0.14358,8.81,0.14546
0.14358,8.62,0.14546
0.14211,8.449999999999998,0.11681
0.14211,10.57,0.11681
0.14912,10.38,0.15974
0.14211,10.23,0.11681
0.13462,10.1,0.11681
0.13462,9.98,0.11681
0.16253,9.88,0.2544
0.16253,9.79,0.2544
0.17643,9.7,0.2676
0.17956,9.62,0.23057
0.17956,12.02,0.23057
0.17956,11.91,0.23057
0.17956,11.86,0.23057
0.1667,11.85,0.18743
0.17485,11.85,0.13928
0.1667,11.86,0.18743
0.1667,11.87,0.18743
0.17392,11.89,0.18491
0.17392,11.89,0.18491
0.17392,11.83,0.18491
0.18358,14.41,0.21861
0.1845,14.41,0.15271
0.16622999999999996,14.3,0.098077
0.16622999999999996,14.3,0.098077
0.16622999999999996,14.3,0.098077
0.16622999999999996,14.29,0.098077
0.17089,14.29,0.099196
0.11855,6.52,1.0
0.11855,6.52,1.0
0.11855,6.52,1.0
0.11198,8.0,1.0
0.12373,8.0,1.0
0.12373,8.0,1.0
0.12373,8.75,1.0
0.12373,8.75,1.0
0.12373,8.75,1.0
0.12069,56.29,1.0
0.12069,56.29,1.0
0.12069,8.349999999999998,1.0
0.12069,8.96,1.0
0.12614,8.96,1.0
0.12235,8.96,1.0
0.12235,8.72,1.0
0.12235,8.72,1.0
0.13019,8.72,1.0
0.13019,56.36,1.0
0.13019,9.37,1.0
0.13019,9.37,1.0
0.13019,13.98,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,13.98,1.0
0.12493000000000003,12.65,1.0
0.12612000000000004,13.53,0.99979
0.13286,13.53,0.99918
0.13286,11.65,0.99918
0.13286,15.17,0.99918
0.13286,13.09,0.99918
0.14745,13.09,0.99781
0.14745,15.32,0.99781
0.14745,13.33,0.99781
0.14745,11.61,0.99781
0.14745,10.19,0.99781
0.15235,13.38,0.9971
0.15487999999999996,11.87,0.3472
0.15487999999999996,10.6,0.3472
0.15487999999999996,14.45,0.3472
0.14946,12.86,0.92324
0.14946,11.48,0.92324
0.14946,10.4,0.92324
0.14946,13.91,0.92324
0.1472,12.54,0.57713
0.1472,11.27,0.57713
0.1472,10.24,0.57713
0.1472,9.49,0.57713
0.14126,12.19,0.34989
0.11817,11.06,0.43255
0.11817,10.11,0.43255
0.11817,9.38,0.43255
0.11817,12.25,0.43255
0.11455000000000003,11.29,0.36268
0.11455000000000003,10.420000000000002,0.36268
0.11455000000000003,9.7,0.36268
0.11455000000000003,9.12,0.36268
0.11767,11.71,0.44627
0.11767,10.99,0.44627
0.11291,10.32,0.70356
0.11291,9.79,0.70356
0.10937,9.35,0.7303
0.10937,8.97,0.7303
0.10937,8.64,0.7303
0.10937,44.88,0.7303
0.10937,10.44,0.7303
0.11446,10.14,0.71619
0.11446,9.88,0.71619
0.14109,9.64,0.25119
0.14068000000000003,9.420000000000002,0.14887
0.14358,9.2,0.14546
0.14358,9.0,0.14546
0.14358,8.81,0.14546
0.14358,45.67,0.14546
0.14211,45.89,0.11681
0.14211,10.57,0.11681
0.14211,10.38,0.11681
0.14211,10.23,0.11681
0.14211,10.1,0.11681
0.13462,9.98,0.11681
0.16475999999999996,9.88,0.1206
0.18841,9.79,0.21639
0.18841,48.37,0.21639
0.17956,48.78,0.23057
0.17956,12.02,0.23057
0.16967,11.91,0.16428
0.17956,11.86,0.23057
0.1667,11.85,0.18743
0.1667,11.85,0.18743
0.1667,11.86,0.18743
0.1667,11.87,0.18743
0.18358,11.89,0.21861
0.18358,53.3,0.21861
0.18358,14.41,0.21861
0.18358,14.41,0.21861
0.1472,14.41,0.07570799999999998
0.16622999999999996,14.3,0.098077
0.17266,14.3,0.11863000000000003
0.16622999999999996,14.3,0.098077
0.16622999999999996,55.15,0.098077
0.17089,55.15,0.099196
0.118,6.52,1.0
0.11198,6.52,1.0
0.11198,6.52,1.0
0.11198,8.0,1.0
0.11198,8.0,1.0
0.12373,8.0,1.0
0.12562000000000004,8.75,1.0
0.12373,8.75,1.0
0.12373,8.75,1.0
0.12069,56.29,1.0
0.12069,56.29,1.0
0.12469,8.349999999999998,1.0
0.12469,8.96,1.0
0.12235,8.96,1.0
0.12235,8.96,1.0
0.12235,8.72,1.0
0.12235,8.72,1.0
0.12235,8.72,1.0
0.13019,56.36,1.0
0.13019,9.37,1.0
0.13019,9.37,1.0
0.13019,13.98,1.0
0.12612000000000004,13.98,0.99979
0.12612000000000004,13.98,0.99979
0.12612000000000004,13.53,0.99979
0.12612000000000004,13.53,0.99979
0.13286,13.53,0.99918
0.13286,11.65,0.99918
0.13286,15.17,0.99918
0.13286,13.09,0.99918
0.13286,13.09,0.99918
0.14745,15.32,0.99781
0.14745,13.33,0.99781
0.14498,11.61,0.9936100000000002
0.14498,10.19,0.9936100000000002
0.15487999999999996,13.38,0.3472
0.15487999999999996,11.87,0.3472
0.15487999999999996,10.6,0.3472
0.15487999999999996,14.45,0.3472
0.14946,12.86,0.92324
0.14946,11.48,0.92324
0.14946,10.4,0.92324
0.14946,13.91,0.92324
0.14946,12.54,0.92324
0.15506,11.27,0.7877199999999999
0.15506,10.24,0.7877199999999999
0.15506,13.48,0.7877199999999999
0.15506,12.19,0.7877199999999999
0.11817,11.06,0.43255
0.12971,10.11,0.38754
0.11817,9.38,0.43255
0.11817,12.25,0.43255
0.11455000000000003,11.29,0.36268
0.11455000000000003,10.420000000000002,0.36268
0.11455000000000003,9.7,0.36268
0.11165000000000001,9.12,0.47797
0.11291,11.71,0.70356
0.11291,10.99,0.70356
0.11291,10.32,0.70356
0.11291,9.79,0.70356
0.11291,9.35,0.70356
0.10937,44.9,0.7303
0.10937,44.88,0.7303
0.10937,44.88,0.7303
0.10937,10.44,0.7303
0.11446,10.14,0.71619
0.11075,9.88,0.25137
0.14068000000000003,9.64,0.14887
0.14068000000000003,9.420000000000002,0.14887
0.14358,9.2,0.14546
0.14358,45.29,0.14546
0.14358,45.47,0.14546
0.14358,45.67,0.14546
0.14358,45.89,0.14546
0.14211,10.57,0.11681
0.14211,10.38,0.11681
0.14211,10.23,0.11681
0.14218,10.1,0.10993000000000001
0.16475999999999996,9.98,0.1206
0.16475999999999996,47.61,0.1206
0.18841,47.98,0.21639
0.18841,48.37,0.21639
0.17956,48.78,0.23057
0.17956,12.02,0.23057
0.17956,11.91,0.23057
0.17956,11.86,0.23057
0.17956,11.85,0.23057
0.1667,11.85,0.18743
0.17604,11.86,0.19859
0.17604,52.22,0.19859
0.17604,52.75,0.19859
0.18358,53.3,0.21861
0.18358,14.41,0.21861
0.15978,14.41,0.13248
0.1472,14.41,0.07570799999999998
0.16622999999999996,14.3,0.098077
0.16622999999999996,54.65,0.098077
0.16622999999999996,54.65,0.098077
0.16622999999999996,55.15,0.098077
0.15815,55.15,0.089286
0.118,6.52,1.0
0.11198,6.52,1.0
0.11198,6.52,1.0
0.11739,8.0,1.0
0.11198,8.0,1.0
0.12373,8.0,1.0
0.12373,8.75,1.0
0.12373,8.75,1.0
0.12373,8.75,1.0
0.11938,56.29,1.0
0.12469,56.29,1.0
0.12469,8.349999999999998,1.0
0.12469,8.96,1.0
0.12469,8.96,1.0
0.12235,8.96,1.0
0.12235,8.72,1.0
0.12235,8.72,1.0
0.12235,8.72,1.0
0.13019,56.36,1.0
0.13019,9.37,1.0
0.12639,9.37,1.0
0.12639,13.98,1.0
0.12612000000000004,13.98,0.99979
0.12612000000000004,13.98,0.99979
0.12612000000000004,13.53,0.99979
0.12612000000000004,13.53,0.99979
0.12612000000000004,13.53,0.99979
0.13286,15.17,0.99918
0.13286,15.17,0.99918
0.13286,13.09,0.99918
0.13286,13.09,0.99918
0.14498,15.32,0.9936100000000002
0.14498,13.33,0.9936100000000002
0.14498,11.61,0.9936100000000002
0.14498,15.15,0.9936100000000002
0.15487999999999996,13.38,0.3472
0.15487999999999996,11.87,0.3472
0.15487999999999996,10.6,0.3472
0.15487999999999996,14.45,0.3472
0.15487999999999996,12.86,0.3472
0.14946,11.48,0.92324
0.14946,10.4,0.92324
0.15517,13.91,0.26405
0.15517,12.54,0.26405
0.15506,11.27,0.7877199999999999
0.15506,10.24,0.7877199999999999
0.13813,13.48,0.70698
0.15506,12.19,0.7877199999999999
0.11817,11.06,0.43255
0.11817,10.11,0.43255
0.11817,47.37,0.43255
0.11817,12.25,0.43255
0.12063,11.29,0.43075
0.11165000000000001,10.420000000000002,0.47797
0.11165000000000001,9.7,0.47797
0.11165000000000001,45.8,0.47797
0.11165000000000001,11.71,0.47797
0.11291,10.99,0.70356
0.11291,10.32,0.70356
0.11291,9.79,0.70356
0.11291,9.35,0.70356
0.10937,44.9,0.7303
0.10937,44.88,0.7303
0.11022,44.88,0.27178
0.11022,10.44,0.27178
0.11075,10.14,0.25137
0.11075,9.88,0.25137
0.12571,9.64,0.19402
0.14068000000000003,9.420000000000002,0.14887
0.14068000000000003,45.14,0.14887
0.14358,45.29,0.14546
0.14358,45.47,0.14546
0.14358,45.67,0.14546
0.14358,45.89,0.14546
0.14218,10.57,0.10993000000000001
0.14218,10.38,0.10993000000000001
0.14218,10.23,0.10993000000000001
0.14218,10.1,0.10993000000000001
0.16475999999999996,47.25,0.1206
0.16475999999999996,47.61,0.1206
0.17282,47.98,0.1562
0.18841,48.37,0.21639
0.18841,48.78,0.21639
0.17956,12.02,0.23057
0.17956,11.91,0.23057
0.18584,11.86,0.23143
0.18584,11.85,0.23143
0.17604,51.19,0.19859
0.17604,51.7,0.19859
0.17604,52.22,0.19859
0.17604,52.75,0.19859
0.18358,53.3,0.21861
0.1472,14.41,0.07570799999999998
0.1472,14.41,0.07570799999999998
0.1472,14.41,0.07570799999999998
0.1472,54.65,0.07570799999999998
0.15983,54.65,0.08916
0.15983,54.65,0.08916
0.15983,55.15,0.08916
0.15983,55.15,0.08916
0.118,6.4,1.0
0.11198,6.4,1.0
0.11198,6.4,1.0
0.11198,7.83,1.0
0.11198,7.83,1.0
0.11198,7.83,1.0
0.11938,8.679999999999998,1.0
0.11938,8.679999999999998,1.0
0.11938,8.679999999999998,1.0
0.11938,56.32,1.0
0.12469,56.32,1.0
0.12469,8.29,1.0
0.12469,8.88,1.0
0.12469,8.88,1.0
0.12235,8.88,1.0
0.12235,8.55,1.0
0.12235,8.55,1.0
0.12417,8.55,1.0
0.12417,56.39,1.0
0.12639,9.05,1.0
0.12639,9.05,1.0
0.12639,13.36,1.0
0.12639,13.36,1.0
0.12612000000000004,13.36,0.99979
0.12612000000000004,12.8,0.99979
0.12612000000000004,12.8,0.99979
0.12612000000000004,12.8,0.99979
0.13286,15.0,0.99918
0.13376,15.0,0.99353
0.13376,12.81,0.99353
0.13376,12.81,0.99353
0.14498,14.83,0.9936100000000002
0.14498,12.75,0.9936100000000002
0.14498,11.04,0.9936100000000002
0.14498,14.21,0.9936100000000002
0.14498,12.59,0.9936100000000002
0.15487999999999996,11.29,0.3472
0.15487999999999996,10.23,0.3472
0.15487999999999996,13.9,0.3472
0.15884,12.52,0.39033
0.15517,11.38,0.26405
0.15517,10.49,0.26405
0.15517,13.6,0.26405
0.15517,12.44,0.26405
0.15506,11.36,0.7877199999999999
0.15506,10.45,0.7877199999999999
0.15506,13.15,0.7877199999999999
0.1212,12.0,0.60369
0.1212,11.0,0.60369
0.11817,10.13,0.43255
0.12063,12.8,0.43075
0.12063,11.68,0.43075
0.12063,10.86,0.43075
0.11165000000000001,10.12,0.47797
0.11165000000000001,9.49,0.47797
0.11165000000000001,11.77,0.47797
0.11165000000000001,11.08,0.47797
0.11291,10.43,0.70356
0.11291,9.84,0.70356
0.11291,9.35,0.70356
0.11291,11.48,0.70356
0.11223,10.98,0.79136
0.11022,10.51,0.27178
0.11022,10.09,0.27178
0.11022,9.72,0.27178
0.11022,9.4,0.27178
0.11075,9.11,0.25137
0.11075,11.41,0.25137
0.11075,11.03,0.25137
0.14068000000000003,10.66,0.14887
0.14358,10.33,0.14546
0.14358,10.04,0.14546
0.14192,9.77,0.11374
0.14192,9.54,0.11374
0.14218,9.32,0.10993000000000001
0.14218,9.14,0.10993000000000001
0.14218,11.82,0.10993000000000001
0.14218,11.46,0.10993000000000001
0.14218,11.18,0.10993000000000001
0.16475999999999996,10.94,0.1206
0.16475999999999996,10.76,0.1206
0.16475999999999996,10.61,0.1206
0.18841,10.5,0.21639
0.18584,10.420000000000002,0.23143
0.18584,10.37,0.23143
0.18584,13.64,0.23143
0.18584,13.37,0.23143
0.17604,13.170000000000003,0.19859
0.17604,13.02,0.19859
0.17604,12.91,0.19859
0.17604,12.84,0.19859
0.17604,12.8,0.19859
0.1472,12.76,0.07570799999999998
0.1472,16.39,0.07570799999999998
0.1538,16.39,0.091017
0.1538,16.12,0.091017
0.15983,16.12,0.08916
0.15983,16.12,0.08916
0.15983,15.99,0.08916
0.15983,19.11,0.08916
0.118,6.4,1.0
0.118,6.4,1.0
0.11198,6.4,1.0
0.11198,7.83,1.0
0.12291,7.83,1.0
0.12291,7.83,1.0
0.11938,8.679999999999998,1.0
0.11938,8.679999999999998,1.0
0.12482,8.679999999999998,1.0
0.11938,56.32,1.0
0.12469,56.32,1.0
0.12469,8.29,1.0
0.12469,8.88,1.0
0.12469,8.88,1.0
0.12469,8.88,1.0
0.12417,8.55,1.0
0.12417,8.55,1.0
0.12417,8.55,1.0
0.12417,56.39,1.0
0.12639,9.05,1.0
0.12639,9.05,1.0
0.12639,13.36,1.0
0.12639,13.36,1.0
0.12612000000000004,13.36,0.99979
0.12612000000000004,12.8,0.99979
0.12612000000000004,12.8,0.99979
0.13064,12.8,0.9944
0.13064,15.0,0.9944
0.13376,15.0,0.99353
0.13376,12.81,0.99353
0.13376,12.81,0.99353
0.13376,14.83,0.99353
0.14498,12.75,0.9936100000000002
0.14498,11.04,0.9936100000000002
0.14498,14.21,0.9936100000000002
0.14498,12.59,0.9936100000000002
0.15884,11.29,0.39033
0.15884,10.23,0.39033
0.15884,13.9,0.39033
0.15884,12.52,0.39033
0.15517,11.38,0.26405
0.15517,14.99,0.26405
0.15517,13.6,0.26405
0.15517,12.44,0.26405
0.15517,11.36,0.26405
0.15506,14.61,0.7877199999999999
0.15506,13.15,0.7877199999999999
0.12071,12.0,0.71237
0.12071,11.0,0.71237
0.12063,10.13,0.43075
0.12063,12.8,0.43075
0.12063,11.68,0.43075
0.12063,10.86,0.43075
